ID_hecho,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,COMUNA,pos x,pos y,ROL,PARTICIPANTES,VICTIMA,ACUSADO,EDAD_victima,FECHA_FALLECIMIENTO
2016-0078,2016-06-13,2016,6,13,23:01:00,23,AV BELGRANO Y AV JUJUY,3,-58.40491455,-34.61463830,CONDUCTOR,MOTO-MOTO,MOTO,MOTO,30.0,
2016-0079,2016-06-16,2016,6,16,17:13:00,17,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,13,-58.45504154,-34.54864492,CONDUCTOR,AUTO-AUTO,AUTO,AUTO,51.0,
2016-0080,2016-06-18,2016,6,18,06:42:00,6,AV GRAL PAZ Y AV RIVADAVIA,9,-58.52927982,-34.63931752,CONDUCTOR,AUTO-SD,AUTO,SD,60.0,
2016-0081,2016-06-22,2016,6,22,07:42:00,7,AV CRISOLOGO LARRALDE Y MACHAIN,12,-58.48721060,-34.55904606,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,40.0,
2016-0082,2016-06-27,2016,6,27,18:24:00,18,AV LA PLATA 2384,4,-58.42273092,-34.64228803,PEATON,PEATON-AUTO,PEATON,AUTO,87.0,2016-07-05
2016-0083,2016-06-28,2016,6,28,20:46:00,20,AV JUAN B ALBERDI Y PUAN,6,-58.44788671,-34.62539009,PEATON,PEATON-MOTO,PEATON,MOTO,76.0,2016-06-29
2016-0084,2016-06-29,2016,6,29,22:00:00,22,CARLOS PELLEGRINI Y TUCUMAN,1,-58.38110563,-34.60135531,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,57.0,2016-07-08
2016-0085,2016-06-29,2016,6,29,22:00:00,22,AVDA ITE FRANCISCO RABANAL & AVDA EREZCANO,4,-58.42378834,-34.65734100,SD,MOTO-MOVIL,MOTO,OTRO,,
2016-0086,2016-06-30,2016,6,30,16:10:00,16,AV OLIVERA Y RAMON FALCON,10,-58.48727942,-34.63652467,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,75.0,2016-07-01
2016-0087,2016-07-03,2016,7,3,00:10:00,0,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI Y AV CASEROS,1,-58.37864583,-34.62907067,CONDUCTOR,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,23.0,2016-07-03
2016-0088,2016-07-11,2016,7,11,15:30:00,15,CERETTI Y NUÑEZ,12,-58.50151750,-34.56767549,PEATON,PEATON-AUTO,PEATON,AUTO,70.0,2016-07-14
2016-0089,2016-07-14,2016,7,14,06:40:00,6,AV LUGONES Y LA PAMPA,13,-58.43233425,-34.55185825,PEATON,PEATON-AUTO,PEATON,AUTO,35.0,2016-07-14
2016-0090,2016-07-14,2016,7,14,22:00:00,22,JERONIMO SALGUERO Y AV RIVADAVIA,5,-58.41971993,-34.61112240,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,60.0,2016-07-15
2016-0092,2016-07-15,2016,7,15,11:00:00,11,AV GRAL PAZ Y AV LIBERTADOR ,13,-58.46743471,-34.53476874,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,24.0,2016-07-15
2016-0093,2016-07-17,2016,7,17,03:30:00,3,AV JUAN B ALBERDI Y EMILIO MITRE,6,-58.44362126,-34.62301748,CONDUCTOR,AUTO-AUTO,AUTO,AUTO,35.0,2016-07-19
2016-0095,2016-07-23,2016,7,23,06:12:00,6,MERCEDES Y AV GRAL MOSCONI,11,-58.51713095,-34.59546519,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,29.0,2016-07-23
2016-0096,2016-07-25,2016,7,25,07:00:00,7,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. KM. 2,3",8,-58.47433193007387,-34.66684950051973,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,,
2016-0097,2016-07-26,2016,7,26,18:45:00,18,SOLIS Y MEXICO,1,-58.39038605,-34.61562810,PEATON,PEATON-AUTO,PEATON,AUTO,80.0,2016-08-12
2016-0098,2016-07-27,2016,7,27,16:08:00,16,AV SAN JUAN Y ALBERTI,3,-58.40042405,-34.62356174,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,43.0,
2016-0099,2016-07-29,2016,7,29,16:00:00,16,AV GRAL MOSCONI Y AV GRAL PAZ,11,-58.52340614,-34.59798754,CONDUCTOR,CARGAS-CARGAS,CARGAS,CARGAS,45.0,
2016-0100,2016-08-03,2016,8,3,23:27:00,23,AV GRAL PAZ  Y DONADO,12,-58.49491054,-34.54795581,CONDUCTOR,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,57.0,2016-08-03
2016-0101,2016-08-07,2016,8,7,19:42:00,19,AV GRAL PAZ Y JORGE CHAVEZ,9,-58.52932872,-34.65014993,SD,SD-SD,SD,SD,67.0,
2016-0102,2016-08-10,2016,8,10,23:37:00,23,AV EVA PERON Y JOSE LEON SUAREZ,9,-58.50011639,-34.67316502,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,29.0,
2016-0104,2016-08-14,2016,8,14,21:15:00,21,ZINNY Y AV SANTIAGO DE COMPOSTELA,9,-58.46635001,-34.65624369,CONDUCTOR,MOTO-PASAJEROS,MOTO,PASAJEROS,21.0,2016-08-15
2016-0105,2016-08-17,2016,8,17,00:05:00,0,AV FEDERICO LACROZE Y FRAGA,15,-58.45343236,-34.58435809,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,19.0,2016-08-26
2016-0106,2016-08-19,2016,8,19,21:02:00,21,CARLOS PELLEGRINI Y AV DEL LIBERTADOR,1,-58.38090932,-34.58927731,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,38.0,
2016-0107,2016-08-20,2016,8,20,08:22:00,8,AUTOPISTA 9 DE JULIO SUR ALT AV MENDOZA,4,-58.37157668,-34.65429986,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,21.0,
2016-0109,2016-08-24,2016,8,24,05:45:00,5,AUTOPISTA PERITO MORENO Y BARRAGAN,9,-58.52280139,-34.63659934,CONDUCTOR,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,53.0,2016-08-24
